"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.27-7-FRA-MK.A","        France","14.388","21.628","23.278","26.848","32.938","37.478","44.693","49.508","52.588","52.588","55.808","56.838","57.698","59.008","58.573","58.573","60.028","62.83","61.63","63.08","63.08","63.08","62.97","63.26","63.26","63.26","63.26","63.26","63.26","63.26","63.13","63.13","63.13","63.13","63.13","63.13","63.13","63.13","63.13","63.13","61.37","61.37","61.37","NA"
"INTL.27-7-GUF-MK.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.27-7-PYF-MK.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.27-7-GAB-MK.A","        Gabon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.27-7-GMB-MK.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.27-7-GEO-MK.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.27-7-DEU-MK.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","21.236","21.363","21.398","20.81","20.972","21.037","21.049","21.063","21.122","21.283","21.283","21.283","20.643","20.643","20.339","20.339","20.43","20.486","20.48","20.49","12.068","12.068","12.068","12.074","10.799","10.799","9.515","9.515","8.113","8.113","8.113","8.113","NA"
"INTL.27-7-DDR-MK.A","        Germany, East","1.83","1.83","1.83","1.83","1.83","1.83","1.83","1.83","1.83","1.83","1.83","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.27-7-DEUW-MK.A","        Germany, West","8.601","9.824","9.826","11.096","14.833","16.095","18.874","18.928","21.488","22.709","19.42","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.27-7-GHA-MK.A","        Ghana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.27-7-GIB-MK.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.27-7-GRC-MK.A","        Greece","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
